Fecha_Hora,Artista,Tema
3/5/2023 01:00,Fito Paez,B. Ode y Evelyn
3/5/2023 00:59,Fito Paez,Estoy Atiborrado Con Tu Amor
3/5/2023 00:59,Fito Paez,El chico de la tapa
3/5/2023 00:55,Fito Paez,Pequeño Ángel
3/5/2023 00:55,Fito Paez,Parte Del Aire
3/5/2023 00:55,Fito Paez,Arrecife
3/5/2023 00:55,Fito Paez,Cuando El Arte Ataque
3/5/2023 00:50,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
3/5/2023 00:49,Fito Paez,Track Track
2/5/2023 20:36,Fito Paez,Bailando Hasta Que Se Vaya La Noche
2/5/2023 20:21,Fito Paez,Dando Vueltas En El Aire
2/5/2023 20:20,Fito Paez,Ambar Violeta
2/5/2023 20:16,Fito Paez,Ciudad De Pobres Corazones
2/5/2023 20:16,Fito Paez,Nada Mas Preciado
2/5/2023 20:15,Fito Paez,Gente Sin Swing
2/5/2023 20:15,Fito Paez,Fuga En Tabu
2/5/2023 20:14,Fito Paez,A Las Piedras De Belen
2/5/2023 20:10,Fito Paez,De Mil Novecientos Veinte
2/5/2023 20:07,Fito Paez,Pompa Bye Bye
2/5/2023 20:06,Fito Paez,Por Siete Vidas
2/5/2023 20:06,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
2/5/2023 20:02,Fito Paez,Alacran
2/5/2023 19:58,Fito Paez,Dame Un Talisman
2/5/2023 19:55,Fito Paez,Cancion De Amor Mientras Tanto
2/5/2023 19:52,Fito Paez,Polaroid De Locura Ordinaria
2/5/2023 19:49,Fito Paez,Tatuaje Falso
2/5/2023 19:49,Fito Paez,La Ciudad De Los Pibes Sin Calma
2/5/2023 19:44,Fito Paez,Lejos De Berlin
2/5/2023 19:44,Fito Paez,Solo Los Chicos
1/5/2023 05:04,Ciro y los Persas,Luz
1/5/2023 04:50,Fito Paez,Tumbas de la gloria
1/5/2023 00:11,Fito Paez,Tumbas de la gloria
1/5/2023 00:00,Bersuit Vergarabat,Vuelos
1/5/2023 00:00,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero
1/5/2023 00:00,Kapanga,Miro de Atrás
1/5/2023 00:00,Intoxicados,Se Fue Al Cielo
1/5/2023 00:00,Babasónicos,Fizz
1/5/2023 00:00,Fito Paez,A rodar mi vida
1/5/2023 00:00,Los Caballeros De La Quema,Patri
1/5/2023 00:00,Guasones,Down
29/4/2023 16:36,Fito Paez,A rodar mi vida
29/4/2023 16:19,Patricio Rey y sus Redonditos de Ricota,Salando las Heridas
29/4/2023 16:06,Babasónicos,Los Calientes
29/4/2023 15:53,Bersuit Vergarabat,Esperando El Impacto
29/4/2023 15:37,Bersuit Vergarabat,Esperando El Impacto
29/4/2023 15:17,Sumo,El Ojo Blindado
29/4/2023 15:17,Fito Paez,Dos en la ciudad
29/4/2023 15:17,Viejas Locas,Difícil De Entender
29/4/2023 15:17,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
29/4/2023 15:13,Fito Paez,Por Siete Vidas
29/4/2023 15:09,Fito Paez,Alacran
29/4/2023 15:06,Fito Paez,Dame Un Talisman
29/4/2023 14:31,Fito Paez,Dame Un Talisman
29/4/2023 14:19,Fito Paez,Polaroid De Locura Ordinaria
29/4/2023 14:19,Fito Paez,Cancion De Amor Mientras Tanto
29/4/2023 14:17,Fito Paez,Lejos De Berlin
29/4/2023 14:17,Fito Paez,Tatuaje Falso
29/4/2023 14:17,Fito Paez,Solo Los Chicos
29/4/2023 14:17,Fito Paez,La Ciudad De Los Pibes Sin Calma
29/4/2023 14:14,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 02:07,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 01:18,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 01:18,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
25/4/2023 20:12,Los Caballeros De La Quema,No Hay
25/4/2023 13:17,Los Caballeros De La Quema,No Hay
25/4/2023 00:08,Los Caballeros De La Quema,No Hay
24/4/2023 23:48,Ciro y los Persas,Me Gusta
24/4/2023 23:40,Los Piojos,Todo Pasa
24/4/2023 23:32,La Renga,Algún Rayo
24/4/2023 23:29,Las Pelotas,Hola Que Tal
24/4/2023 23:29,Los Caballeros De La Quema,Pejerrey
24/4/2023 23:29,Las Pastillas del Abuelo,Ama a Quien Llora por Ti
24/4/2023 23:29,Catupecu Machu,Eso Vive
24/4/2023 23:28,Skay Beilinson,Oda a la Sin Nombre
24/4/2023 23:28,La Renga,Me Hice Canción - En Directo Desde Estadio De Huracán Buenos Aires / 2001
24/4/2023 23:28,Las Pastillas del Abuelo,Rocanrol N´n´n´
21/4/2023 19:51,Las Pastillas del Abuelo,Rocanrol N´n´n´
21/4/2023 19:04,Los Piojos,Pacífico
21/4/2023 18:59,Los Caballeros De La Quema,El Culo del Asunto
21/4/2023 18:55,Las Pastillas del Abuelo,Skalipso
21/4/2023 18:55,Intoxicados,Las Cosas Que No Se Tocan - En Vivo Luna Park
21/4/2023 18:55,Bersuit Vergarabat,La Argentinidad Al Palo
21/4/2023 18:55,La Renga,Nómades - En Vivo
21/4/2023 18:55,Los Piojos,Muévelo
21/4/2023 18:52,Los Caballeros De La Quema,Sangrándonos
21/4/2023 18:41,Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji
21/4/2023 18:36,Bersuit Vergarabat,Toco Y Me Voy
21/4/2023 18:36,La Renga,Bien Alto - En Vivo
21/4/2023 18:33,Bersuit Vergarabat,Toco Y Me Voy
21/4/2023 18:33,La Renga,Bien Alto - En Vivo
21/4/2023 18:29,Divididos,Amapola del 66
21/4/2023 18:29,Los Piojos,Ando Ganas (Llora Llora)
21/4/2023 18:13,Los Caballeros De La Quema,Domingo Muerto
21/4/2023 18:11,Patricio Rey y sus Redonditos de Ricota,Todo un Palo
19/4/2023 21:22,Patricio Rey y sus Redonditos de Ricota,Todo un Palo
19/4/2023 21:11,Intoxicados,Espero Que la Vida - Remasterizado 2020
19/4/2023 21:08,Bersuit Vergarabat,El Tiempo No Para - Live In Buenos Aires / 2001
19/4/2023 21:03,La Renga,Detonador de Sueños
19/4/2023 21:01,La Renga,Detonador de Sueños
19/4/2023 21:01,Bersuit Vergarabat,El Tiempo No Para - Live In Buenos Aires / 2001
19/4/2023 20:59,Maldita Suerte,Corazonalmente
19/4/2023 20:58,Viejas Locas,Lo Artesanal
19/4/2023 20:58,Patricio Rey y sus Redonditos de Ricota,Juguetes Perdidos
19/4/2023 20:54,Los Caballeros De La Quema,Malvenido
19/4/2023 20:54,La Vela Puerca,Va A Escampar
19/4/2023 20:54,Intoxicados,Volver a Casa
17/4/2023 23:52,Los Caballeros De La Quema,Malvenido
17/4/2023 23:37,Patricio Rey y sus Redonditos de Ricota,Salando las Heridas
17/4/2023 23:31,Los Caballeros De La Quema,Malvenido
17/4/2023 23:31,Patricio Rey y sus Redonditos de Ricota,Salando las Heridas
17/4/2023 23:26,Intoxicados,Espero Que la Vida - En Vivo Luna Park
17/4/2023 23:25,Viejas Locas,Hermanos De Sangre
17/4/2023 23:25,Divididos,Spaghetti del Rock
17/4/2023 23:25,La Vela Puerca,Sin Palabras
17/4/2023 23:25,La Renga,Motoralmaisangre - En Directo Desde Estadio De Huracán Buenos Aires / 2001
17/4/2023 23:25,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo
17/4/2023 23:24,Patricio Rey y sus Redonditos de Ricota,Una Piba Con la Remera de Greenpeace
17/4/2023 23:24,Las Pastillas del Abuelo,Azu?car Impalpable
17/4/2023 23:24,La Renga,Elefantes Pogueando
17/4/2023 23:24,Los Caballeros De La Quema,Huelga de Princesas
17/4/2023 23:24,Viejas Locas,Aunque A Nadie Ya Le Importe
17/4/2023 23:24,Intoxicados,Noche Con Amigos
17/4/2023 23:24,Divididos,Buscando un Ángel
17/4/2023 23:24,La Renga,Buena Pipa
17/4/2023 23:24,Viejas Locas,Adrenalina
17/4/2023 23:24,Pappo's Blues,Trabajando en el Ferrocarril
17/4/2023 23:24,Los Piojos,Civilización
17/4/2023 19:58,Intoxicados,Noche Con Amigos
17/4/2023 19:38,Turf,Pasos Al Costado
17/4/2023 19:33,Divididos,Pepe Lui
17/4/2023 19:33,Viejas Locas,Me Gustas Mucho
17/4/2023 19:33,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad
17/4/2023 19:33,Ciro y los Persas,Antes y Después
17/4/2023 19:33,Viejas Locas,Todo Sigue Igual
17/4/2023 19:33,Intoxicados,Las cosas que no se tocan
17/4/2023 19:33,La Vela Puerca,De Atar
17/4/2023 19:33,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés
17/4/2023 19:33,Bersuit Vergarabat,La Soledad
17/4/2023 19:28,La Renga,Al Que He Sangrado - En Directo Desde Estadio De Huracán Buenos Aires / 2001
17/4/2023 19:27,Los Caballeros De La Quema,Oxidado
17/4/2023 19:13,Don Osvaldo,Misterios
17/4/2023 19:10,Patricio Rey y sus Redonditos de Ricota,Mi Perro Dinamita
17/4/2023 19:07,Los Piojos,El Farolito
17/4/2023 18:56,Bersuit Vergarabat,El Viejo De Arriba
17/4/2023 18:56,Los Caballeros De La Quema,Nueve Días
17/4/2023 18:56,Viejas Locas,Una Vez Más
17/4/2023 18:56,Patricio Rey y sus Redonditos de Ricota,Tarea Fina
17/4/2023 18:56,Intoxicados,Esta Saliendo El Sol
17/4/2023 18:54,Los Piojos,Vine Hasta Aquí
17/4/2023 18:50,Divididos,¿Qué Ves?
17/4/2023 18:50,Los Piojos,Yira Yira
17/4/2023 18:49,Viejas Locas,Intoxicado
17/4/2023 18:49,Los Caballeros De La Quema,Sapo de Otro Pozo
17/4/2023 18:49,La Renga,Ser yo - En Vivo
17/4/2023 18:38,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
17/4/2023 18:35,Intoxicados,De La Guitarra
17/4/2023 18:35,Divididos,Paisano De Hurlingham
16/4/2023 22:50,Divididos,Paisano De Hurlingham
16/4/2023 22:40,Mancha De Rolando,Chino
16/4/2023 22:36,La Renga,Oportunidad Oportuna
16/4/2023 22:34,Viejas Locas,Hombre Suburbano
16/4/2023 22:32,Los Caballeros De La Quema,Fulanos de Nadie
16/4/2023 22:25,Patricio Rey y sus Redonditos de Ricota,El Pibe de los Astilleros
16/4/2023 22:24,Skay Beilinson,El Sueño del Jinete
16/4/2023 22:24,Intoxicados,Mi Inteligencia Intrapersonal
16/4/2023 22:23,Los Caballeros De La Quema,Todo Tan Raro
16/4/2023 22:23,Viejas Locas,Homero
16/4/2023 22:23,La 25,Solo voy
16/4/2023 22:23,Bersuit Vergarabat,Murguita Del Sur
16/4/2023 19:31,Los Caballeros De La Quema,Todo Tan Raro
16/4/2023 19:18,Patricio Rey y sus Redonditos de Ricota,Me Matan Limón!
16/4/2023 19:18,Viejas Locas,No me pienso levantar
16/4/2023 19:18,Intoxicados,Se Fue Al Cielo
16/4/2023 19:18,La Renga,El Monstruo Que Crece - En Vivo
16/4/2023 19:18,La Portuaria,Un Dia Cualquiera (El Bar De La Calle Rodney)
16/4/2023 19:18,Divididos,Par Mil
16/4/2023 19:17,Los Caballeros De La Quema,Hasta Estallar
16/4/2023 19:13,Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo
16/4/2023 19:13,Bersuit Vergarabat,El Baile De La Gambeta
16/4/2023 19:09,Viejas Locas,Difícil De Entender
16/4/2023 19:06,Intoxicados,Religión
16/4/2023 01:24,Intoxicados,Religión
16/4/2023 01:13,La Vela Puerca,Llenos De Magia
16/4/2023 01:10,Los Caballeros De La Quema,Todos Atrás y Dios de Nueve
16/4/2023 01:05,Divididos,Nene de Antes
14/4/2023 13:59,Divididos,Nene de Antes
14/4/2023 13:42,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero
14/4/2023 13:42,Viejas Locas,Nen
14/4/2023 13:42,Los Piojos,Ruleta
14/4/2023 13:42,Intoxicados,Quieren Rock
14/4/2023 13:35,Los Caballeros De La Quema,Patri
14/4/2023 13:35,Divididos,Ortega Y Gases
14/4/2023 13:34,Patricio Rey y sus Redonditos de Ricota,Yo Caníbal
13/4/2023 22:54,Catupecu Machu,Eso Espero
13/4/2023 22:52,Ratones Paranoicos,Sigue Girando
13/4/2023 22:48,Divididos,El 38
13/4/2023 22:48,Don Osvaldo,Normal
13/4/2023 22:48,Las Pastillas del Abuelo,Otra Vuelta de Tuerca
13/4/2023 22:48,La Renga,Cuadrado Obviado
12/4/2023 18:52,Las Pastillas del Abuelo,Otra Vuelta de Tuerca
12/4/2023 18:34,La 25,Adicción
12/4/2023 18:30,Callejeros,Imposible
12/4/2023 18:08,Skay Beilinson,Tal Vez Mañana
12/4/2023 18:08,Las Pelotas,¿Qué Podés Dar?
10/4/2023 23:52,Las Pelotas,¿Qué Podés Dar?
10/4/2023 23:39,La Renga,Voy a Bailar a la Nave del Olvido - En Vivo
10/4/2023 23:35,Los Gardelitos,Amando A Mi Guitarra
10/4/2023 23:35,Callejeros,Creo
10/4/2023 23:35,La Renga,Al Que He Sangrado - En Vivo
10/4/2023 23:35,Los Gardelitos,Mezclas Raras
10/4/2023 23:35,Guasones,Reyes de la Noche
10/4/2023 23:35,La 25,Olfato de Ratón
10/4/2023 23:35,Los Piojos,Desde Lejos No Se Ve
10/4/2023 23:35,Kapanga,El Albañil
10/4/2023 23:34,El Bordo,Hablame
10/4/2023 23:34,Maldita Suerte,Vientos de libertad
10/4/2023 23:34,La 25,Chico Común
10/4/2023 23:34,La Renga,Corazón Fugitivo - En Vivo
10/4/2023 23:29,Los Gardelitos,Puño y Letra
10/4/2023 23:29,La 25,Hasta La Victoria
10/4/2023 23:29,Las Pelotas,Día Feliz
10/4/2023 23:29,Skay Beilinson,Falenas en Celo
10/4/2023 23:28,La 25,Chica Suburbana
10/4/2023 23:28,La Vela Puerca,El Soldado de Plomo
